Text,Classification
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy
i feel like throwing away the shitty piece of shit paper,sadness
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness
i am feeling horny so i ask her that lets go home,love
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,love
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,joy
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,sadness
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,sadness
i think im just being stupid feeling nervous,fear
i was feeling an act of god at work in my life and it was an amazing feeling,surprise
i legs would feel shitty for a few miles but would come around like they always do,sadness
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,surprise
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,joy
i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,sadness
i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,joy
i feel kerry didnt do by supporting civil unions and gay equality,love
i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself,love
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,anger
i feel energized and curious again about life about god about my potential to give something back to society and about finding someone after my heart,surprise
i bought a virtually fat free thousand islands and feeling very impressed with myself hold large quantities of this substance on the leaves of lettuce and cucumber with my friend but it will be total sugar becomes if you do not burn fat,surprise
im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week,anger
i love sliding down on a nice big throbbing cock and feeling what my gorgeous body does to a man,joy
i still feel a little dazed and have that sort of disbelieving feeling of oh my god,surprise
i love the porn industry and i feel satisfied and fulfilled working in it i have to say that it doesn t really bring in the big bucks,joy
i just think about all the day i chatted with my mom amp also feeling horny and masturbate myself,love
i am feeling pretty stinkin shitty for being such a horrible reviewer,sadness
i feel as if the leaders of countries do not depict the people of their countries because for the love of god i hope no one thought at all i was in any way supportive or like george w,love
i was feeling really horny all afternoon with no one to fulfill ma sexual desire and only had my bed and creative thoughts to help me out and not forgetting my handss which aahhh work like magic,love
i feel that horrible helplessness to make things better for them and that feels like it will kill me inside,sadness
im feeling every bit the spiteful vindictive bitch i can be at times,anger
i love some of it the media coverage but sometime i feel they put an ugly picture,sadness
i hated that when i got drunk the whole next day was spent sleeping and feeling groggy,sadness
i often tell him that i want attention from him especially when i feel horny and want to have good sex for hours,love
